date,max_temp,min_temp
2026-08-21,27.9,8.7
2026-08-22,25.2,13.6
2026-08-23,24.3,11.4
2026-08-24,21.7,10.0
2026-08-25,26.4,10.2
2026-08-26,27.5,12.5
2026-08-27,19.5,9.1
